customer,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
BU79786,Washington,No,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Two-Door Car,Midsize
QZ44356,Arizona,No,Extended,Undergraduate,Unemployed,F,Suburban,Single,Personal Auto,3,3,Agent,Four-Door Car,Midsize
AI49188,Nevada,No,Premium,Undergraduate,Employed,F,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Midsize
WW63253,California,No,Basic,Undergraduate,Unemployed,M,Suburban,Married,Corporate Auto,2,1,Call Center,SUV,Midsize
HB64268,Washington,No,Basic,Undergraduate,Employed,M,Rural,Single,Personal Auto,1,1,Agent,Four-Door Car,Midsize
OC83172,Oregon,Yes,Basic,Undergraduate,Employed,F,Rural,Married,Personal Auto,3,2,Web,Two-Door Car,Midsize
XZ87318,Oregon,Yes,Basic,Undergraduate,Employed,F,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Midsize
CF85061,Arizona,No,Premium,Postgraduate,Unemployed,M,Urban,Single,Corporate Auto,3,1,Agent,Four-Door Car,Midsize
DY87989,Oregon,Yes,Basic,Undergraduate,Other,M,Suburban,Divorced,Corporate Auto,3,1,Agent,Four-Door Car,Midsize
BQ94931,Oregon,No,Extended,Undergraduate,Employed,F,Urban,Married,Special Auto,2,2,Branch,Four-Door Car,Midsize
SX51350,California,No,Basic,Undergraduate,Unemployed,M,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small
VQ65197,California,No,Basic,Undergraduate,Unemployed,F,Suburban,Married,Personal Auto,3,2,Agent,SUV,Midsize
DP39365,California,No,Premium,Postgraduate,Employed,M,Urban,Married,Corporate Auto,1,2,Agent,Four-Door Car,Midsize
SJ95423,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,3,2,Branch,SUV,Midsize
IL66569,California,No,Basic,Undergraduate,Employed,M,Urban,Single,Corporate Auto,3,4,Call Center,Four-Door Car,Midsize
BW63560,Oregon,No,Basic,Undergraduate,Employed,F,Rural,Married,Corporate Auto,2,2,Branch,Four-Door Car,Midsize
FV94802,Nevada,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Midsize
OE15005,California,No,Basic,Undergraduate,Other,M,Suburban,Married,Personal Auto,2,3,Call Center,SUV,Midsize
